36:(15,16),(10,19),(11,10),(18,31),(16,16),(5,1),(5,19),(2,10),(2,12),(25,14),(23,5),
37:(15,16),(10,19),(12,10),(19,31),(17,16),(5,1),(5,20),(3,10),(2,11),(25,14),(23,5),
38:(15,16),(10,19),(13,10),(20,31),(17,15),(5,1),(5,21),(4,10),(2,10),(25,14),(23,5),
39:(15,16),(10,19),(13,9),(21,31),(17,14),(5,1),(5,22),(5,10),(3,10),(25,14),(23,5),
40:(15,16),(10,19),(13,8),(22,31),(18,14),(5,1),(6,22),(6,10),(4,10),(25,14),(23,5),
41:(15,16),(10,19),(13,7),(22,30),(19,14),(5,1),(7,22),(7,10),(5,10),(25,14),(23,5),
42:(15,16),(10,19),(14,7),(22,29),(20,14),(5,1),(8,22),(8,10),(6,10),(25,14),(23,5),
43:(15,16),(10,19),(15,7),(22,28),(20,15),(5,1),(8,23),(9,10),(7,10),(25,14),(23,5),
44:(15,16),(10,19),(16,7),(23,28),(20,16),(5,1),(8,24),(10,10),(8,10),(25,14),(23,5),
45:(15,16),(10,19),(17,7),(24,28),(21,16),(5,1),(8,25),(11,10),(9,10),(25,14),(23,5),
46:(15,16),(10,19),(18,7),(25,28),(22,16),(5,1),(9,25),(12,10),(10,10),(25,14),(23,5),
47:(15,16),(10,19),(19,7),(25,27),(23,16),(5,1),(10,25),(13,10),(11,10),(25,14),(23,5),
48:(15,16),(10,19),(20,7),(25,26),(24,16),(5,1),(11,25),(13,9),(12,10),(25,14),(23,5),
49:(15,16),(10,19),(21,7),(25,25),(25,16),(5,1),(12,25),(13,8),(13,10),(25,14),(23,5),
50:(15,16),(10,19),(22,7),(26,25),(25,16),(5,1),(13,25),(14,8),(13,9),(25,14),(23,5),
51:(15,16),(10,19),(22,6),(27,25),(25,16),(5,1),(13,24),(14,8),(13,8),(25,14),(23,5),
52:(15,16),(10,19),(22,5),(28,25),(25,16),(5,1),(13,23),(14,8),(13,7),(25,14),(23,5),
53:(15,16),(10,19),(22,4),(29,25),(25,16),(5,1),(13,22),(14,8),(14,7),(25,14),(23,5),
54:(15,16),(10,19),(22,3),(30,25),(25,16),(5,1),(13,21),(14,8),(15,7),(25,14),(23,5),
55:(15,16),(10,19),(22,2),(31,25),(25,16),(5,1),(13,20),(14,8),(16,7),(25,14),(23,5),
56:(15,16),(10,19),(21,2),(31,24),(25,16),(5,1),(13,19),(14,8),(17,7),(25,14),(23,5),
57:(15,16),(10,19),(20,2),(31,23),(25,16),(5,1),(14,19),(14,8),(18,7),(25,14),(23,5),
58:(15,16),(10,19),(19,2),(31,22),(25,16),(5,1),(14,19),(14,8),(19,7),(25,14),(23,5),
59:(15,16),(10,19),(18,2),(31,22),(25,16),(5,1),(14,19),(14,8),(20,7),(25,14),(23,5),
60:(15,16),(10,19),(17,2),(31,22),(25,16),(5,1),(14,19),(14,8),(21,7),(25,14),(23,5),
61:(15,16),(10,19),(16,2),(31,22),(25,16),(5,1),(14,19),(14,8),(22,7),(25,14),(23,5),
62:(15,16),(10,19),(15,2),(31,22),(25,16),(5,1),(14,19),(14,8),(22,6),(25,14),(23,5),
63:(15,16),(10,19),(14,2),(31,22),(25,16),(5,1),(14,19),(14,8),(22,5),(25,14),(23,5),
64:(15,16),(10,19),(13,2),(31,22),(25,16),(5,1),(14,19),(14,8),(22,4),(25,14),(23,5),
65:(15,16),(10,19),(12,2),(31,22),(25,16),(5,1),(14,19),(14,8),(22,3),(25,14),(23,5),
66:(15,16),(10,19),(11,2),(31,22),(25,16),(5,1),(14,19),(14,8),(22,2),(25,14),(23,5),
67:(15,16),(10,19),(10,2),(31,22),(25,16),(5,1),(14,19),(14,8),(21,2),(25,14),(23,5),
68:(15,16),(10,19),(9,2),(31,22),(25,16),(5,1),(14,19),(14,8),(20,2),(25,14),(23,5),
69:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(19,2),(25,14),(23,5),
70:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(18,2),(25,14),(23,5),
71:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(17,2),(25,14),(23,5),
72:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(16,2),(25,14),(23,5),
73:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(15,2),(25,14),(23,5),
74:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(14,2),(25,14),(23,5),
75:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(13,2),(25,14),(23,5),
76:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(12,2),(25,14),(23,5),
77:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(11,2),(25,14),(23,5),
78:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(10,2),(25,14),(23,5),
79:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(9,2),(25,14),(23,5),
80:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(9,1),(25,14),(23,5),
81:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(8,1),(25,14),(23,5),
82:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(7,1),(25,14),(23,5),
83:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(7,2),(25,14),(23,5),
84:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(7,3),(25,14),(23,5),
85:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(8,3),(25,14),(23,5),
86:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(8,4),(25,14),(23,5),
87:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(9,4),(25,14),(23,5),
88:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(10,4),(25,14),(23,5),
89:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(11,4),(25,14),(23,5),
90:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(12,4),(25,14),(23,5),
91:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(13,4),(25,14),(23,5),
92:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(14,4),(25,14),(23,5),
93:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(15,4),(25,14),(23,5),
94:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(16,4),(25,14),(23,5),
95:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(17,4),(25,14),(23,5),
96:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(18,4),(25,14),(23,5),
97:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(19,4),(25,14),(23,5),
