27:(15,16),(5,18),(2,10),(15,25),(14,23),(5,1),(10,16),(8,13),
28:(15,16),(5,17),(3,10),(16,25),(14,22),(5,1),(9,16),(7,13),
29:(15,16),(6,17),(4,10),(17,25),(14,21),(5,1),(8,16),(6,13),
30:(15,16),(7,17),(5,10),(17,26),(14,20),(5,1),(7,16),(5,13),
31:(15,16),(8,17),(6,10),(17,27),(14,19),(5,1),(7,17),(4,13),
32:(15,16),(9,17),(7,10),(17,28),(14,18),(5,1),(6,17),(3,13),
33:(15,16),(10,17),(8,10),(17,29),(14,17),(5,1),(5,17),(2,13),
34:(15,16),(10,18),(9,10),(17,30),(15,17),(5,1),(5,18),(2,12),
35:(15,16),(10,19),(10,10),(17,31),(16,17),(5,1),(5,19),(2,11),
36:(15,16),(10,19),(11,10),(18,31),(16,16),(5,1),(5,20),(2,10),
37:(15,16),(10,19),(12,10),(19,31),(17,16),(5,1),(5,21),(3,10),
38:(15,16),(10,19),(13,10),(20,31),(17,15),(5,1),(5,22),(4,10),
39:(15,16),(10,19),(13,9),(21,31),(17,14),(5,1),(6,22),(5,10),
40:(15,16),(10,19),(13,8),(22,31),(18,14),(5,1),(7,22),(6,10),
41:(15,16),(10,19),(13,7),(22,30),(19,14),(5,1),(8,22),(7,10),
42:(15,16),(10,19),(14,7),(22,29),(20,14),(5,1),(8,23),(8,10),
43:(15,16),(10,19),(15,7),(22,28),(20,15),(5,1),(8,24),(9,10),
44:(15,16),(10,19),(16,7),(23,28),(20,16),(5,1),(8,25),(10,10),
45:(15,16),(10,19),(17,7),(24,28),(21,16),(5,1),(9,25),(11,10),
46:(15,16),(10,19),(18,7),(25,28),(22,16),(5,1),(10,25),(12,10),
47:(15,16),(10,19),(19,7),(25,27),(23,16),(5,1),(11,25),(13,10),
48:(15,16),(10,19),(20,7),(25,26),(24,16),(5,1),(12,25),(13,9),
49:(15,16),(10,19),(21,7),(25,25),(25,16),(5,1),(13,25),(13,8),
50:(15,16),(10,19),(22,7),(26,25),(25,16),(5,1),(13,24),(14,8),
51:(15,16),(10,19),(22,6),(27,25),(25,16),(5,1),(13,23),(14,8),
52:(15,16),(10,19),(22,5),(28,25),(25,16),(5,1),(13,22),(14,8),
53:(15,16),(10,19),(22,4),(29,25),(25,16),(5,1),(13,21),(14,8),
54:(15,16),(10,19),(22,3),(30,25),(25,16),(5,1),(13,20),(14,8),
55:(15,16),(10,19),(22,2),(31,25),(25,16),(5,1),(13,19),(14,8),
56:(15,16),(10,19),(21,2),(31,24),(25,16),(5,1),(14,19),(14,8),
57:(15,16),(10,19),(20,2),(31,23),(25,16),(5,1),(14,19),(14,8),
58:(15,16),(10,19),(19,2),(31,22),(25,16),(5,1),(14,19),(14,8),
59:(15,16),(10,19),(18,2),(31,22),(25,16),(5,1),(14,19),(14,8),
60:(15,16),(10,19),(17,2),(31,22),(25,16),(5,1),(14,19),(14,8),
61:(15,16),(10,19),(16,2),(31,22),(25,16),(5,1),(14,19),(14,8),
62:(15,16),(10,19),(15,2),(31,22),(25,16),(5,1),(14,19),(14,8),
63:(15,16),(10,19),(14,2),(31,22),(25,16),(5,1),(14,19),(14,8),
64:(15,16),(10,19),(13,2),(31,22),(25,16),(5,1),(14,19),(14,8),
65:(15,16),(10,19),(12,2),(31,22),(25,16),(5,1),(14,19),(14,8),
66:(15,16),(10,19),(11,2),(31,22),(25,16),(5,1),(14,19),(14,8),
67:(15,16),(10,19),(10,2),(31,22),(25,16),(5,1),(14,19),(14,8),
68:(15,16),(10,19),(9,2),(31,22),(25,16),(5,1),(14,19),(14,8),
69:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),
