87:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(9,4),
88:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(10,4),
89:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(11,4),
90:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(12,4),
91:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(13,4),
92:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(14,4),
93:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(15,4),
94:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(16,4),
95:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(17,4),
96:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(18,4),
97:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(19,4),
