113:(194,65),(132,191),(215,182),
114:(194,65),(132,191),(215,183),
115:(194,65),(132,191),(215,184),
116:(194,65),(132,191),(215,185),
117:(194,65),(132,191),(216,185),
118:(194,65),(132,191),(216,186),
119:(194,65),(132,191),(216,187),
120:(194,65),(132,191),(216,188),
121:(194,65),(132,191),(216,189),
122:(194,65),(132,191),(216,190),
123:(194,65),(132,191),(216,191),
124:(194,65),(132,191),(216,192),
125:(194,65),(132,191),(216,193),
126:(194,65),(132,191),(216,194),
127:(194,65),(132,191),(216,195),
128:(194,65),(132,191),(216,196),
129:(194,65),(132,191),(216,197),
130:(194,65),(132,191),(216,198),
131:(194,65),(132,191),(216,199),
132:(194,65),(132,191),(216,200),
133:(194,65),(132,191),(216,201),
134:(194,65),(132,191),(216,202),
135:(194,65),(132,191),(216,203),
136:(194,65),(132,191),(216,204),
137:(194,65),(132,191),(216,205),
138:(194,65),(132,191),(216,206),
139:(194,65),(132,191),(216,207),
140:(194,65),(132,191),(216,208),
141:(194,65),(132,191),(216,209),
142:(194,65),(132,191),(217,209),
143:(194,65),(132,191),(217,210),
144:(194,65),(132,191),(217,211),
145:(194,65),(132,191),(217,212),
146:(194,65),(132,191),(217,213),
147:(194,65),(132,191),(218,213),
148:(194,65),(132,191),(218,214),
149:(194,65),(132,191),(218,215),
150:(194,65),(132,191),(218,216),
151:(194,65),(132,191),(219,216),
152:(194,65),(132,191),(219,217),
153:(194,65),(132,191),(220,217),
154:(194,65),(132,191),(220,218),
155:(194,65),(132,191),(221,218),
156:(194,65),(132,191),(222,218),
157:(194,65),(132,191),(222,219),
